_-né	ms	_-né
_-née	fs	_-né
_-nées	fp	_-né
_-nés	mp	_-né
abaissant	ms	abaissant
abaissante	fs	abaissant
abaissantes	fp	abaissant
abaissants	mp	abaissant
abaisseur	ms	abaisseur
abaisseurs	mp	abaisseur
abaisseuse	fs	abaisseur
abaisseuses	fp	abaisseur
abandonné	ms	abandonné
abandonnée	fs	abandonné
abandonnées	fp	abandonné
abandonnés	mp	abandonné
abasourdi	ms	abasourdi
abasourdie	fs	abasourdi
abasourdies	fp	abasourdi
abasourdis	mp	abasourdi
abasourdissant	ms	abasourdissant
abasourdissante	fs	abasourdissant
abasourdissantes	fp	abasourdissant
abasourdissants	mp	abasourdissant
abattu	ms	abattu
abattue	fs	abattu
abattues	fp	abattu
abattus	mp	abattu
abaxial	ms	abaxial
abaxiale	fs	abaxial
abaxiales	fp	abaxial
abaxiaux	mp	abaxial
abbatial	ms	abbatial
abbatiale	fs	abbatial
abbatiales	fp	abbatial
abbatiaux	mp	abbatial
abbevillien	ms	abbevillien
abbevillienne	fs	abbevillien
abbevilliennes	fp	abbevillien
abbevilliens	mp	abbevillien
abbevilloise	fs	abbevillois
abbevilloises	fp	abbevillois
abcédant	ms	abcédant
abcédante	fs	abcédant
abcédantes	fp	abcédant
abcédants	mp	abcédant
abdominal	ms	abdominal
abdominale	fs	abdominal
abdominales	fp	abdominal
abdominaux	mp	abdominal
abducteur	ms	abducteur
abducteurs	mp	abducteur
abductrice	fs	abducteur
abductrices	fp	abducteur
aberrant	ms	aberrant
aberrante	fs	aberrant
aberrantes	fp	aberrant
aberrants	mp	aberrant
abiétin	ms	abiétin
abiétine	fs	abiétin
abiétines	fp	abiétin
abiétins	mp	abiétin
abject	ms	abject
abjecte	fs	abject
abjectes	fp	abject
abjects	mp	abject
abjurant	ms	abjurant
abjurante	fs	abjurant
abjurantes	fp	abjurant
abjurants	mp	abjurant
ablatif	ms	ablatif
ablatifs	mp	ablatif
ablative	fs	ablatif
ablatives	fp	ablatif
aboli	ms	aboli
abolie	fs	aboli
abolies	fp	aboli
abolis	mp	aboli
abondant	ms	abondant
abondante	fs	abondant
abondantes	fp	abondant
abondants	mp	abondant
abonné	ms	abonné
abonnée	fs	abonné
abonnées	fp	abonné
abonnés	mp	abonné
abordé	ms	abordé
abordée	fs	abordé
abordées	fp	abordé
abordés	mp	abordé
abortif	ms	abortif
abortifs	mp	abortif
abortive	fs	abortif
abortives	fp	abortif
abouti	ms	abouti
aboutie	fs	abouti
abouties	fp	abouti
aboutis	mp	abouti
aboutissant	ms	aboutissant
aboutissante	fs	aboutissant
aboutissantes	fp	aboutissant
aboutissants	mp	aboutissant
abouté	ms	abouté
aboutée	fs	abouté
aboutées	fp	abouté
aboutés	mp	abouté
abracadabrant	ms	abracadabrant
abracadabrante	fs	abracadabrant
abracadabrantes	fp	abracadabrant
abracadabrants	mp	abracadabrant
abrasif	ms	abrasif
abrasifs	mp	abrasif
abrasive	fs	abrasif
abrasives	fp	abrasif
abricoté	ms	abricoté
abricotée	fs	abricoté
abricotées	fp	abricoté
abricotés	mp	abricoté
abrité	ms	abrité
abritée	fs	abrité
abritées	fp	abrité
abrités	mp	abrité
abrogatif	ms	abrogatif
abrogatifs	mp	abrogatif
abrogative	fs	abrogatif
abrogatives	fp	abrogatif
abrupt	ms	abrupt
abrupte	fs	abrupt
abruptes	fp	abrupt
abrupts	mp	abrupt
abruti	ms	abruti
abrutie	fs	abruti
abruties	fp	abruti
abrutis	mp	abruti
abrutissant	ms	abrutissant
abrutissante	fs	abrutissant
abrutissantes	fp	abrutissant
abrutissants	mp	abrutissant
abréviatif	ms	abréviatif
abréviatifs	mp	abréviatif
abréviative	fs	abréviatif
abréviatives	fp	abréviatif
absconse	fs	abscons
absconses	fp	abscons
absent	ms	absent
absente	fs	absent
absentes	fp	absent
absents	mp	absent
absidal	ms	absidal
absidale	fs	absidal
absidales	fp	absidal
absidaux	mp	absidal
absolu	ms	absolu
absolue	fs	absolu
absolues	fp	absolu
absolus	mp	absolu
absorbant	ms	absorbant
absorbante	fs	absorbant
absorbantes	fp	absorbant
absorbants	mp	absorbant
absorbé	ms	absorbé
absorbée	fs	absorbé
absorbées	fp	absorbé
absorbés	mp	absorbé
abstinent	ms	abstinent
abstinente	fs	abstinent
abstinentes	fp	abstinent
abstinents	mp	abstinent
abstracteur	ms	abstracteur
abstracteurs	mp	abstracteur
abstractrice	fs	abstracteur
abstractrices	fp	abstracteur
