abaca	m	s	0
abacas	m	p	0
abacule	m	s	0
abacules	m	p	0
abaisse	f	s	0
abaissement	m	s	0
abaissements	m	p	0
abaisses	f	p	0
abaisseur	m	s	1
abaisseurs	m	p	1
abaissée	f	s	1
abaissées	f	p	1
abajoue	f	s	0
abajoues	f	p	0
abalourdissement	m	s	0
abalourdissements	m	p	0
abandon	m	s	0
abandonnement	m	s	0
abandonnements	m	p	0
abandonné	m	s	1
abandonnée	f	s	1
abandonnées	f	p	1
abandonnés	m	p	1
abandons	m	p	0
abaque	m	s	0
abaques	m	p	0
abasourdissement	m	s	0
abasourdissements	m	p	0
abat	m	s	0
abatage	m	s	0
abatages	m	p	0
abatant	m	s	0
abatants	m	p	0
abats	m	p	0
abattage	m	s	0
abattages	m	p	0
abattant	m	s	0
abattants	m	p	0
abattement	m	s	0
abattements	m	p	0
abatteur	m	s	0
abatteurs	m	p	0
abattoir	m	s	0
abattoirs	m	p	0
abattu	m	s	1
abatture	f	s	0
abattures	f	p	0
abattus	m	p	1
abattée	f	s	0
abattées	f	p	0
abatée	f	s	0
abatées	f	p	0
abbatiale	f	s	1
abbatiales	f	p	1
abbattage	m	s	0
abbattages	m	p	0
abbattement	m	s	0
abbattements	m	p	0
abbaye	f	s	0
abbayes	f	p	0
abbesse	f	s	0
abbesses	f	p	0
abbevillien	m	s	1
abbevillienne	f	s	1
abbevilliennes	f	p	1
abbevilliens	m	p	1
abbé	m	s	0
abbés	m	p	0
abcédation	f	s	0
abcédations	f	p	0
abdication	f	s	0
abdications	f	p	0
abdomen	m	s	0
abdomens	m	p	0
abdominaux	m	p	1
abdos	m	p	0
abducteur	m	s	1
abducteurs	m	p	1
abduction	f	s	0
abductions	f	p	0
abecquement	m	s	0
abecquements	m	p	0
abeille	f	s	0
abeilles	f	p	0
aber	m	s	0
aberrance	f	s	0
aberrances	f	p	0
aberration	f	s	0
aberrations	f	p	0
abers	m	p	0
abhorration	f	s	0
abhorrations	f	p	0
abiétinée	f	s	0
abiétinées	f	p	0
abjection	f	s	0
abjections	f	p	0
abjuration	f	s	0
abjurations	f	p	0
ablatif	m	s	1
ablatifs	m	p	1
ablation	f	s	0
ablations	f	p	0
able	m	s	0
ableret	m	s	0
ablerets	m	p	0
ables	m	p	0
ablette	f	s	0
ablettes	f	p	0
ablier	m	s	0
abliers	m	p	0
ablocage	m	s	0
ablocages	m	p	0
ablution	f	s	0
ablutions	f	p	0
ablégat	m	s	0
ablégats	m	p	0
abnégation	f	s	0
abnégations	f	p	0
aboi	m	s	0
aboiement	m	s	0
aboiements	m	p	0
abois	m	p	0
abolissement	m	s	0
abolissements	m	p	0
abolition	f	s	0
abolitionnisme	m	s	0
abolitionnismes	m	p	0
abolitions	f	p	0
abomination	f	s	0
abominations	f	p	0
abondement	m	s	0
abondements	m	p	0
abonnage	m	s	0
abonnages	m	p	0
abonnement	m	s	0
abonnements	m	p	0
abonnissement	m	s	0
abonnissements	m	p	0
abonné	m	s	1
abonnée	f	s	1
abonnées	f	p	1
abonnés	m	p	1
abord	m	s	0
